타임스탬프,"상단의 참가 자격을 확인하셨습니까?
핵 사용 이력 적발 시 즉시 대회에서 배제됩니다.","대회 참가자에게 톡식하거나, 비난하지 마세요. 
무엇을 해야 할지 알려주세요.
건전한 경쟁 문화가 되도록 신경써주세요.","팀 경매에서 어떤 역할을 하고 싶으신가요?
(주장 지원자가 부족하다면 랜덤으로 선출합니다.)",VRChat 닉네임,"최고 점수(프리미어, 완미, 오윈, 페이스잇 중 1택)",Steam 프로필 링크 (본인 스팀프로필 링크 복사해주세요.),"본인의 VRC 아바타 사진 
경매 및 내부 방송시 사용됩니다.",각오 한마디
2025. 8. 15 오후 7:54:03,네,네,팀원,여울 シ,"21,730",https://steamcommunity.com/id/ywool/,https://drive.google.com/open?id=1nKBaCEwNftoGnowSYMm1OiOjzeWZxXJe,Chiken
2025. 8. 15 오후 8:28:05,네,네,팀원,Haru _,S2 Premier 24098,https://steamcommunity.com/id/BlackMellowCowMan/,https://drive.google.com/open?id=1asydAxny71mOg0JuBP9wE4IShnSbm70i,다 잡아먹을테다 크앙
2025. 8. 15 오후 8:34:01,네,네,팀원,_Kanaria_,페잇 10레벨,https://steamcommunity.com/id/19861236981234/,https://drive.google.com/open?id=182d69hWr7eh9tDvtPA2cKJfwYm0XzZEY,나 한두마리 제자임 ㅇㅅㅇ
2025. 8. 15 오후 11:33:58,네,네,팀원,yel7,프미 15000,https://steamcommunity.com/profiles/76561198451881749/,https://drive.google.com/open?id=1BgLoxYGYRVlot0eYA0hgCBDJT846Ib3U,하나둘셋브이알챗화이팅
2025. 8. 15 오후 11:41:34,네,네,팀원,Doyoung2,"프리미어 14,999",https://steamcommunity.com/id/Do022/,https://drive.google.com/open?id=1g_FFg5w1C1na7pCJayBhQrf7OlE_SzZa,아자아자 화이팅 
2025. 8. 16 오전 12:47:13,네,네,팀원,catistrue,프미17k,https://steamcommunity.com/id/catistrue/,https://drive.google.com/open?id=1NiXmYbwCxbKZ3w_KR7KlX6ENqyGMcRl0,카운터스트라이크2화이팅
2025. 8. 16 오후 2:30:45,네,네,팀원,arithmetica,프리미어 18000점입니당.,https://steamcommunity.com/profiles/76561198194307118/,https://drive.google.com/open?id=1scSNiASoWYMIoqo4DfWpHXxLZ_ulUemo,화이팅!!!!!!!!!!!!!!!!
2025. 8. 17 오후 9:04:54,네,네,팀원,Hoon,23000 플미,https://steamcommunity.com/profiles/76561198328362054/,https://drive.google.com/open?id=13n3WBQchs9FM1LmjEkQ3boTq_qhS8oI7,Ang
2025. 8. 19 오전 2:16:09,네,네,팀원,Pocat,30221,https://steamcommunity.com/profiles/76561198116738621/,https://drive.google.com/open?id=17ft8PITvSERLvi_hzhG5xNFuleJm1qJo,야호~~~
2025. 8. 19 오후 12:21:42,네,네,팀원,요정,프리미어 24999점,https://steamcommunity.com/profiles/76561198110519841/,https://drive.google.com/open?id=1cysBq1aDhkdqCJluqCLyPt3lN8X288Dv,봐줘잉
2025. 8. 19 오후 10:18:26,네,네,팀원,TOPGU,프리미어 15000,https://steamcommunity.com/id/John_Weed/,https://drive.google.com/open?id=1rIiNw7l7uVH09U9g1rWZZhqhVrDx06l5,성실하게 매너게임 하겟숩니다
2025. 8. 20 오후 4:36:37,네,네,팀원,Monad1729,완미: 2042(A),https://steamcommunity.com/id/Monad1729/,https://drive.google.com/open?id=14DVfsTc-Ak2hujbprgDZHXGID-O_qogz,한 수 배우고 가겠습니다
